houseguid,formalname_region,formalname_area,formalname_city,formalname_street,house_number,building,block,letter,floor_count_max,floor_count_min,living_quarters_count,area_residential
0c2e4a39-512c-4eb1-89bb-1fb86e8f9547,Свердловская,Богдановичский,Богданович,Пионерская,78,,,,2.0,2.0,8.0,"363,30"
9d7398fb-a261-4f6e-b6f1-4d45c2a9f2cc,Свердловская,Богдановичский,Богданович,Пионерский,1,,,,1.0,,,"113,20"
bd35b79e-b89b-4b5b-87c0-ccd967118c92,Свердловская,Богдановичский,Богданович,Пионерский,2,,,,1.0,1.0,2.0,"110,00"
009f75b4-051f-4e33-bf5f-9debdab390a4,Свердловская,Богдановичский,Богданович,Пионерский,3,,,,1.0,,,"93,70"
58dc4743-d191-4f39-ae76-781e109404fa,Свердловская,Богдановичский,Богданович,Полевая,48,,,,1.0,1.0,2.0,"153,40"
cdab41e9-16ab-4ede-895b-6fce1f702a66,Свердловская,Богдановичский,Богданович,Пушкина,50,,,,2.0,2.0,12.0,"509,50"
432d64e7-5d03-4368-9158-26afa5782a00,Свердловская,Богдановичский,Богданович,Пушкина,52,,,,1.0,1.0,2.0,"98,00"
9d082fd0-9971-4599-8e68-53f36c00c08f,Свердловская,Богдановичский,Богданович,Пушкина,54,,,,1.0,1.0,1.0,"52,50"
91554944-32c2-4a47-9aed-25f5d20df051,Свердловская,Богдановичский,Богданович,Пушкина,56,,,,1.0,1.0,1.0,"73,40"
627da2dd-7a82-4da0-b023-d08b4c11edeb,Свердловская,Богдановичский,Богданович,Первомайская,27,,,,5.0,5.0,70.0,"3108,80"
056ac8df-e24d-4849-b08d-83596d56f610,Свердловская,Богдановичский,Богданович,Рокицанская,8,,,,2.0,2.0,24.0,"289,80"
554ce3c0-431e-4f47-b179-01a0f4cc1243,Свердловская,Богдановичский,Богданович,Свердлова,12,,,,3.0,3.0,8.0,"464,60"
16aafb5a-a9b9-45de-b0a6-98858f961d4b,Свердловская,Богдановичский,Богданович,Спортивная,1,,,,3.0,3.0,10.0,"572,90"
31e9f350-e053-4705-9e09-5c14c0d1fe98,Свердловская,Богдановичский,Богданович,Рокицанская,27,,,,5.0,5.0,58.0,"2702,49"
41c00abf-2d49-4324-8acd-377bda140dbc,Свердловская,Богдановичский,Богданович,Садовая,4,,,,5.0,5.0,102.0,"4825,80"
c499cb83-1ecf-417c-a5fa-122643e0ef2b,Свердловская,Богдановичский,Богданович,Свердлова,7,,,,,,,
823d8177-0bdb-45d9-a738-37aa211fb613,Свердловская,Богдановичский,Богданович,Сибирский,15,,,,1.0,1.0,1.0,"45,00"
c499cb83-1ecf-417c-a5fa-122643e0ef2b,Свердловская,Богдановичский,Богданович,Свердлова,7,дубль,,,3.0,3.0,11.0,"608,20"
9fbaab9f-bb35-44f4-8ea3-aef638c30c8b,Свердловская,Богдановичский,Богданович,Свердлова,9,,,,5.0,5.0,50.0,"2142,40"
2a84e022-f456-422c-9a9c-d11abf9c1b45,Свердловская,Богдановичский,Богданович,Свердлова,10,,,,2.0,2.0,18.0,"275,10"
12bb0f04-f221-480e-a970-92109d57176b,Свердловская,Богдановичский,Богданович,Свердлова,14,,,,2.0,2.0,8.0,"465,50"
fb662ead-7b6a-4dbe-ab73-49304ae888d3,Свердловская,Богдановичский,Богданович,Свердлова,16,,,,2.0,2.0,12.0,"538,20"
1a2991bb-44fa-4c6e-a445-343a8a5d744f,Свердловская,Богдановичский,Богданович,Свердлова,18,,,,3.0,3.0,12.0,"725,30"
497d415a-653d-4ea2-af8e-3d589aaa4582,Свердловская,Богдановичский,Богданович,Свердлова,20,,,,2.0,2.0,8.0,"419,20"
1f5116f8-0223-4cd9-ada1-53752e17afb3,Свердловская,Богдановичский,Богданович,Сибирская,34,,,,2.0,2.0,22.0,"883,90"
89a22f36-5bc6-4708-a114-afe208788b15,Свердловская,Верхнесалдинский,Верхняя Салда,Воронова,2,,3,,5.0,5.0,70.0,"3176,90"
c489cbf9-8a1f-4847-a38b-c72d1a1d1f94,Свердловская,Верхнесалдинский,Верхняя Салда,Воронова,3,,,,5.0,5.0,96.0,"4249,93"
643d0d84-acef-4f22-b733-f6ca8048207c,Свердловская,Верхнесалдинский,Верхняя Салда,Рабочей молодежи,6,,,,3.0,,,"1335,00"
7bcc8510-62a8-43cc-9613-9dcb5ff5934c,Свердловская,Верхнесалдинский,Верхняя Салда,Кирова,3,,,,5.0,5.0,70.0,"3371,20"
9fb7abe5-d9f5-45af-8b69-ee8bcbaba1a2,Свердловская,Верхнесалдинский,Верхняя Салда,Крупской,27,,,,2.0,2.0,12.0,"794,70"
387a06ae-96b6-4314-b352-e5aef77d630b,Свердловская,Верхнесалдинский,Верхняя Салда,Крупской,29,,,,2.0,2.0,6.0,"398,50"
bfc70459-5961-4bc7-98c9-3462d0f96d65,Свердловская,Верхнесалдинский,Верхняя Салда,Крупской,30,,,,5.0,5.0,69.0,"3181,00"
84a55f1e-d86f-485d-944f-3eb869ab9e0e,Свердловская,Верхнесалдинский,Верхняя Салда,Крупской,31,,,,2.0,2.0,10.0,"696,15"
f6d717f3-6012-40e1-90af-863025ea97f1,Свердловская,Богдановичский,Богданович,Юбилейная,8,,,,1.0,,,"149,20"
c0bea93d-52e9-485a-89de-05b328c05de9,Свердловская,Верхнесалдинский,Верхняя Салда,Ленина,7,,,,5.0,5.0,69.0,"3352,82"
87212a9d-a843-441a-950c-5079d215e9c1,Свердловская,Верхнесалдинский,Верхняя Салда,Ленина,6,,,,5.0,5.0,64.0,"2555,60"
3e280548-9acb-4282-906c-37256f87dfc2,Свердловская,Верхнесалдинский,Верхняя Салда,Ленина,3,,,,5.0,5.0,67.0,"3156,60"
ea42b2a2-2196-4108-9c11-e8accfff2ab3,Свердловская,Верхнесалдинский,Верхняя Салда,Ленина,5,,,,5.0,5.0,68.0,"3285,20"
202033ae-09e8-4f30-998f-ad621c302068,Свердловская,Богдановичский,Богданович,Рокицанская,25,,,,5.0,5.0,56.0,"2638,10"
b7aa63cd-6093-4ecb-866e-6f9ecc35e0ae,Свердловская,Богдановичский,Богданович,Рокицанская,23,,,,5.0,5.0,78.0,"3776,00"
1f52592b-6603-4627-ba7f-b11b220d1253,Свердловская,Богдановичский,Богданович,Рокицанская,21,,,,3.0,3.0,24.0,"1182,70"
b3054bac-f6d5-4599-8ae2-d54ea8dbc266,Свердловская,Богдановичский,Богданович,Рокицанская,19,,,,5.0,5.0,68.0,"3002,30"
02e76bb4-7095-4f1a-84ef-1aaedddb467b,Свердловская,Богдановичский,Богданович,Спортивная,3,,,,3.0,3.0,12.0,"620,20"
d306efc5-e59a-43b6-ae61-e36ecfa5d58e,Свердловская,Богдановичский,Богданович,Спортивная,3,а,,,5.0,5.0,60.0,"2659,30"
6575c77f-f652-40c1-bbc6-f734a5904463,Свердловская,Богдановичский,Богданович,Спортивная,4,,,,,,,
6575c77f-f652-40c1-bbc6-f734a5904463,Свердловская,Богдановичский,Богданович,Спортивная,4,,,,3.0,3.0,11.0,"649,70"
a5a51fd5-67d3-483a-95ce-9cbf3a2e6700,Свердловская,Богдановичский,Богданович,Спортивная,5,,,,2.0,2.0,12.0,"540,00"
5487184e-4b68-4e32-b7b9-1b4e7b38ab18,Свердловская,Богдановичский,Богданович,Спортивная,7,,,,2.0,2.0,14.0,"664,10"
0527adcd-2d78-4382-bee4-2a85c06fc5eb,Свердловская,Богдановичский,Богданович,Спортивная,7,а,,,3.0,3.0,24.0,"1402,20"
b9ca15a9-1763-4dde-ae63-d59d4e5f905c,Свердловская,Богдановичский,Богданович,Спортивная,8,,,,2.0,2.0,8.0,"401,40"
7d96254f-353f-4129-b0db-a97dc2bc3a0f,Свердловская,Богдановичский,Богданович,Спортивная,9,,,,2.0,2.0,7.0,"386,60"
0ceab709-7160-4c46-b488-79e32c9bce60,Свердловская,Богдановичский,Богданович,Спортивная,10,,,,2.0,2.0,19.0,"683,00"
8f80ac18-497c-4995-af91-7c9045b5cabe,Свердловская,Богдановичский,Богданович,Спортивная,11,,,,2.0,2.0,8.0,"313,60"
166932a5-8453-4b0c-84fa-1f56f392a666,Свердловская,Богдановичский,Богданович,Спортивная,13,,,,1.0,1.0,1.0,"46,60"
6d6c8b73-4df7-4be3-bfc2-e8f7c78f96d4,Свердловская,Богдановичский,Богданович,Советская,8,,,,4.0,4.0,32.0,"1266,30"
7912fc1f-9596-4b2f-8d6b-eb86ba486b3b,Свердловская,Богдановичский,Богданович,Спортивная,15,,,,1.0,,,"124,40"
e19d3fe1-fa85-43cc-835b-bb16fd0b4a78,Свердловская,Богдановичский,Богданович,Спортивная,19,,,,1.0,,,"125,50"
2f124a02-b6be-4a8d-94a0-dc19e3294a24,Свердловская,Богдановичский,Богданович,Спортивная,21,,,,1.0,,,"129,20"
8c2ac072-a64f-42c3-a85b-1aa73caa6c04,Свердловская,Богдановичский,Богданович,Спортивная,23,,,,1.0,,,"116,60"
d36ffd92-fc44-4672-95cd-b3a83af65c28,Свердловская,Богдановичский,Богданович,Спортивная,25,,,,1.0,,,"128,30"
93908033-0333-45ca-9ff5-a0c0bf5ce2d7,Свердловская,Богдановичский,Богданович,Спортивная,27,,,,1.0,,,"129,00"
5dfa97b2-339d-4599-bff6-06335b5f7748,Свердловская,Богдановичский,Богданович,Советская,6,,,,4.0,4.0,36.0,"1507,00"
d292e1b4-d165-4158-8682-73ce2ea32bb5,Свердловская,Богдановичский,Богданович,Советская,5,,,,3.0,3.0,11.0,"462,40"
805b06b9-7d22-426b-b778-3b4d61289492,Свердловская,Богдановичский,Богданович,Советская,4,,,,2.0,2.0,16.0,"718,30"
98780aca-e66e-4e69-98fe-86f62232bd63,Свердловская,Богдановичский,Богданович,Свердлова,5,,,,2.0,2.0,12.0,"539,80"
9c985790-a648-4306-8000-8f52e9eff6bc,Свердловская,Богдановичский,Богданович,Рокицанская,11,,,,5.0,5.0,75.0,"3552,70"
8b539463-536b-41cd-b711-e39c42884ba0,Свердловская,Богдановичский,Богданович,Рокицанская,13,,,,5.0,5.0,66.0,"3163,50"
23fc7751-2528-4073-ba1d-edf5b3f8c97f,Свердловская,Богдановичский,Богданович,Рокицанская,17,,,,5.0,5.0,171.0,"2849,10"
4c4543eb-2b7d-4ee8-9268-57c450a16074,Свердловская,Богдановичский,Богданович,Спортивная,17,,,,1.0,,,"129,10"
8de7a9f0-18d5-4837-a3c6-cdb7fa4df70e,Свердловская,Богдановичский,Богданович,Юбилейная,7,,,,1.0,,,"151,00"
