element_type;osmid;geometry;geometry_square;building;amenity;points_inside;building:levels;building:flats;city;addr:street;street_type;addr:housenumber;block;area_residential;building_index;letter;full_address;playgrounds;parkings;landuse;residential;element_type_landuse;osmid_landuse;geometry_landuse_square;point_geometry;people;has_address
way;20782334;POLYGON ((60.64750799999999 56.8413867, 60.647754000000006 56.841412399999996, 60.64803390000001 56.8414417, 60.64807919999999 56.84131229999999, 60.648095100000006 56.841314, 60.648138399999986 56.8411904, 60.6481226 56.84118869999999, 60.648139 56.84114209999999, 60.648155 56.8411438, 60.6481995 56.8410166, 60.6481837 56.841014999999985, 60.64822889999999 56.84088559999999, 60.6479486 56.8408563, 60.6477028 56.840830499999996, 60.647651299999985 56.8409774, 60.647897199999996 56.8410032, 60.647807 56.8412612, 60.64756090000001 56.8412354, 60.64750799999999 56.8413867));1639.1885020652992;apartments;;[];0;0.0;Екатеринбург;Гагарина;улица;35А;;9611.2;;;обл. Свердловская, г. Екатеринбург, ул. Гагарина, д. 35, к. А;1;0;;;;;0.0;POINT (60.648041 56.841167);361;True
way;20782337;POLYGON ((60.646323699999996 56.8417247, 60.64635 56.841646, 60.64637940000001 56.8415621, 60.6464217 56.8414391, 60.646438 56.84139160000001, 60.6464454 56.8413701, 60.646531 56.841121, 60.646593200000005 56.8409401, 60.646611799999995 56.8408859, 60.646637000000005 56.8408125, 60.6468342 56.8408328, 60.64651500000001 56.84174660000001, 60.646323699999996 56.8417247));1249.173167404271;apartments;bank;['furniture', 'club', 'cafe'];5;108.0;Екатеринбург;Гагарина;улица;35;;3849.1;;;обл. Свердловская, г. Екатеринбург, ул. Гагарина, д. 35;1;1;;;;;0.0;POINT (60.646585 56.841286);176;True
